side_a,side_b,win_prob_a
Japan,Pakistan,0.3
Japan,Israel,0.337
Japan,Iran,0.307
Japan,Australia,0.531
Japan,Spain,0.538
Japan,Egypt,0.411
Japan,Ukraine,0.552
Japan,Poland,0.641
Japan,Taiwan,0.404
Japan,Vietnam,0.145
Japan,Thailand,0.483
Japan,Saudi Arabia,0.558
Japan,Sweden,0.548
Japan,Algeria,0.569
Japan,Canada,0.521
Japan,Singapore,0.516
Japan,Greece,0.558
Japan,North Korea,0.352
Japan,Argentina,0.578
Japan,Nigeria,0.535
Japan,Netherlands,0.537
Japan,Myanmar,0.497
Japan,Mexico,0.58
Japan,Bangladesh,0.619
Japan,Portugal,0.594
Japan,Norway,0.515
Japan,South Africa,0.602
Japan,Philippines,0.483
Japan,Malaysia,0.581
Japan,Colombia,0.504
Japan,Iraq,0.386
Japan,Denmark,0.572
Japan,Switzerland,0.509
Japan,Ethiopia,0.458
Japan,Finland,0.517
Japan,Chile,0.602
Japan,Peru,0.518
United Kingdom,United States,0.012
United Kingdom,Russia,0.117
United Kingdom,China,0.074
United Kingdom,India,0.263
United Kingdom,South Korea,0.328
United Kingdom,France,0.506
United Kingdom,Japan,0.635
United Kingdom,Turkiye,0.574
United Kingdom,Italy,0.618
United Kingdom,Brazil,0.619
United Kingdom,Germany,0.531
United Kingdom,Indonesia,0.62
United Kingdom,Pakistan,0.423
United Kingdom,Israel,0.464
United Kingdom,Iran,0.43
United Kingdom,Australia,0.66
United Kingdom,Spain,0.667
United Kingdom,Egypt,0.537
United Kingdom,Ukraine,0.678
United Kingdom,Poland,0.755
United Kingdom,Taiwan,0.531
United Kingdom,Vietnam,0.225
United Kingdom,Thailand,0.617
United Kingdom,Saudi Arabia,0.684
United Kingdom,Sweden,0.676
United Kingdom,Algeria,0.695
United Kingdom,Canada,0.651
United Kingdom,Singapore,0.646
United Kingdom,Greece,0.685
United Kingdom,North Korea,0.479
United Kingdom,Argentina,0.703
United Kingdom,Nigeria,0.664
United Kingdom,Netherlands,0.666
United Kingdom,Myanmar,0.63
United Kingdom,Mexico,0.704
United Kingdom,Bangladesh,0.737
United Kingdom,Portugal,0.716
United Kingdom,Norway,0.645
United Kingdom,South Africa,0.723
United Kingdom,Philippines,0.616
United Kingdom,Malaysia,0.705
United Kingdom,Colombia,0.637
United Kingdom,Iraq,0.514
United Kingdom,Denmark,0.698
United Kingdom,Switzerland,0.64
United Kingdom,Ethiopia,0.593
United Kingdom,Finland,0.648
United Kingdom,Chile,0.722
United Kingdom,Peru,0.65
Turkiye,United States,0.01
Turkiye,Russia,0.094
Turkiye,China,0.059
Turkiye,India,0.211
Turkiye,South Korea,0.268
Turkiye,France,0.436
Turkiye,Japan,0.57
Turkiye,United Kingdom,0.435
Turkiye,Italy,0.552
Turkiye,Brazil,0.552
Turkiye,Germany,0.461
Turkiye,Indonesia,0.551
Turkiye,Pakistan,0.355
Turkiye,Israel,0.394
Turkiye,Iran,0.362
Turkiye,Australia,0.594
Turkiye,Spain,0.601
Turkiye,Egypt,0.471
Turkiye,Ukraine,0.616
Turkiye,Poland,0.698
Turkiye,Taiwan,0.465
Turkiye,Vietnam,0.178
Turkiye,Thailand,0.548
Turkiye,Saudi Arabia,0.62
Turkiye,Sweden,0.611
Turkiye,Algeria,0.631
Turkiye,Canada,0.584
Turkiye,Singapore,0.58
Turkiye,Greece,0.62
Turkiye,North Korea,0.41
Turkiye,Argentina,0.64
Turkiye,Nigeria,0.598
Turkiye,Netherlands,0.6
Turkiye,Myanmar,0.562
Turkiye,Mexico,0.641
Turkiye,Bangladesh,0.678
Turkiye,Portugal,0.654
Turkiye,Norway,0.578
Turkiye,South Africa,0.662
Turkiye,Philippines,0.547
Turkiye,Malaysia,0.643
Turkiye,Colombia,0.568
Turkiye,Iraq,0.446
Turkiye,Denmark,0.634
Turkiye,Switzerland,0.573
Turkiye,Ethiopia,0.523
Turkiye,Finland,0.581
Turkiye,Chile,0.662
Turkiye,Peru,0.582
Italy,United States,0.009
Italy,Russia,0.082
Italy,China,0.051
Italy,India,0.185
Italy,South Korea,0.235
Italy,France,0.394
Italy,Japan,0.525
Italy,United Kingdom,0.393
Italy,Turkiye,0.463
Italy,Brazil,0.506
Italy,Germany,0.418
Italy,Indonesia,0.506
Italy,Pakistan,0.316
Italy,Israel,0.353
Italy,Iran,0.323
Italy,Australia,0.55
Italy,Spain,0.556
Italy,Egypt,0.428
Italy,Ukraine,0.572
Italy,Poland,0.657
Italy,Taiwan,0.422
Italy,Vietnam,0.155
Italy,Thailand,0.502
Italy,Saudi Arabia,0.576
Italy,Sweden,0.566
Italy,Algeria,0.587
Italy,Canada,0.539
Italy,Singapore,0.535
Italy,Greece,0.575
Italy,North Korea,0.369
Italy,Argentina,0.596
Italy,Nigeria,0.553
Italy,Netherlands,0.555
Italy,Myanmar,0.516
Italy,Mexico,0.597
Italy,Bangladesh,0.637
Italy,Portugal,0.611
Italy,Norway,0.533
Italy,South Africa,0.619
Italy,Philippines,0.501
Italy,Malaysia,0.599
Italy,Colombia,0.522
Italy,Iraq,0.404
Italy,Denmark,0.59
Italy,Switzerland,0.527
Italy,Ethiopia,0.477
Italy,Finland,0.535
Italy,Chile,0.619
Italy,Peru,0.537
Brazil,United States,0.009
Brazil,Russia,0.083
Brazil,China,0.052
Brazil,India,0.187
Brazil,South Korea,0.234
Brazil,France,0.393
Brazil,Japan,0.525
Brazil,United Kingdom,0.392
Brazil,Turkiye,0.463
Brazil,Italy,0.506
Brazil,Germany,0.417
Brazil,Indonesia,0.506
Brazil,Pakistan,0.315
Brazil,Israel,0.352
Brazil,Iran,0.322
Brazil,Australia,0.55
Brazil,Spain,0.556
Brazil,Egypt,0.428
Brazil,Ukraine,0.569
Brazil,Poland,0.656
Brazil,Taiwan,0.421
Brazil,Vietnam,0.154
Brazil,Thailand,0.502
Brazil,Saudi Arabia,0.576
Brazil,Sweden,0.565
Brazil,Algeria,0.585
Brazil,Canada,0.539
Brazil,Singapore,0.535
Brazil,Greece,0.575
Brazil,North Korea,0.368
Brazil,Argentina,0.594
Brazil,Nigeria,0.551
Brazil,Netherlands,0.555
Brazil,Myanmar,0.515
Brazil,Mexico,0.596
Brazil,Bangladesh,0.635
Brazil,Portugal,0.61
Brazil,Norway,0.533
Brazil,South Africa,0.618
Brazil,Philippines,0.501
Brazil,Malaysia,0.598
Brazil,Colombia,0.522
Brazil,Iraq,0.403
Brazil,Denmark,0.589
Brazil,Switzerland,0.527
Brazil,Ethiopia,0.476
Brazil,Finland,0.535
Brazil,Chile,0.617
Brazil,Peru,0.535
Germany,United States,0.012
Germany,Russia,0.11
Germany,China,0.069
Germany,India,0.244
Germany,South Korea,0.305
Germany,France,0.482
Germany,Japan,0.612
Germany,United Kingdom,0.481
Germany,Turkiye,0.549
Germany,Italy,0.594
Germany,Brazil,0.595
Germany,Indonesia,0.597
Germany,Pakistan,0.398
Germany,Israel,0.438
Germany,Iran,0.405
Germany,Australia,0.638
Germany,Spain,0.645
Germany,Egypt,0.512
Germany,Ukraine,0.656
Germany,Poland,0.736
Germany,Taiwan,0.506
Germany,Vietnam,0.207
Germany,Thailand,0.593
Germany,Saudi Arabia,0.662
Germany,Sweden,0.654
Germany,Algeria,0.673
Germany,Canada,0.628
Germany,Singapore,0.623
Germany,Greece,0.663
Germany,North Korea,0.455
Germany,Argentina,0.682
Germany,Nigeria,0.642
Germany,Netherlands,0.644
Germany,Myanmar,0.607
Germany,Mexico,0.683
Germany,Bangladesh,0.718
Germany,Portugal,0.695
Germany,Norway,0.622
Germany,South Africa,0.702
Germany,Philippines,0.592
Germany,Malaysia,0.684
Germany,Colombia,0.613
Germany,Iraq,0.49
Germany,Denmark,0.676
Germany,Switzerland,0.617
Germany,Ethiopia,0.569
Germany,Finland,0.625
Germany,Chile,0.702
Germany,Peru,0.627
Indonesia,United States,0.009
Indonesia,Russia,0.082
Indonesia,China,0.051
Indonesia,India,0.185
Indonesia,South Korea,0.234
Indonesia,France,0.392
Indonesia,Japan,0.524
Indonesia,United Kingdom,0.391
Indonesia,Turkiye,0.462
Indonesia,Italy,0.505
Indonesia,Brazil,0.506
Indonesia,Germany,0.417
Indonesia,Pakistan,0.314
Indonesia,Israel,0.351
Indonesia,Iran,0.321
Indonesia,Australia,0.55
Indonesia,Spain,0.556
Indonesia,Egypt,0.427
Indonesia,Ukraine,0.568
Indonesia,Poland,0.655
Indonesia,Taiwan,0.42
Indonesia,Vietnam,0.153
Indonesia,Thailand,0.502
Indonesia,Saudi Arabia,0.576
Indonesia,Sweden,0.565
Indonesia,Algeria,0.585
Indonesia,Canada,0.539
Indonesia,Singapore,0.535
Indonesia,Greece,0.576
Indonesia,North Korea,0.367
Indonesia,Argentina,0.593
Indonesia,Nigeria,0.551
Indonesia,Netherlands,0.555
Indonesia,Myanmar,0.516
Indonesia,Mexico,0.595
Indonesia,Bangladesh,0.634
Indonesia,Portugal,0.608
Indonesia,Norway,0.533
Indonesia,South Africa,0.617
Indonesia,Philippines,0.501
Indonesia,Malaysia,0.596
Indonesia,Colombia,0.522
Indonesia,Iraq,0.402
Indonesia,Denmark,0.589
Indonesia,Switzerland,0.527
Indonesia,Ethiopia,0.477
Indonesia,Finland,0.535
Indonesia,Chile,0.616
Indonesia,Peru,0.536
Pakistan,United States,0.015
Pakistan,Russia,0.15
Pakistan,China,0.095
Pakistan,India,0.334
Pakistan,South Korea,0.406
Pakistan,France,0.59
Pakistan,Japan,0.711
Pakistan,United Kingdom,0.59
Pakistan,Turkiye,0.655
Pakistan,Italy,0.696
Pakistan,Brazil,0.698
Pakistan,Germany,0.614
Pakistan,Indonesia,0.699
Pakistan,Israel,0.546
Pakistan,Iran,0.51
Pakistan,Australia,0.734
Pakistan,Spain,0.74
Pakistan,Egypt,0.62
Pakistan,Ukraine,0.748
Pakistan,Poland,0.814
Pakistan,Taiwan,0.614
Pakistan,Vietnam,0.289
Pakistan,Thailand,0.696
Pakistan,Saudi Arabia,0.754
Pakistan,Sweden,0.748
Pakistan,Algeria,0.764
Pakistan,Canada,0.726
Pakistan,Singapore,0.722
Pakistan,Greece,0.755
Pakistan,North Korea,0.559
Pakistan,Argentina,0.77
Pakistan,Nigeria,0.738
Pakistan,Netherlands,0.739
Pakistan,Myanmar,0.708
Pakistan,Mexico,0.771
Pakistan,Bangladesh,0.799
Pakistan,Portugal,0.781
Pakistan,Norway,0.72
Pakistan,South Africa,0.787
Pakistan,Philippines,0.695
Pakistan,Malaysia,0.773
Pakistan,Colombia,0.713
Pakistan,Iraq,0.601
Pakistan,Denmark,0.766
Pakistan,Switzerland,0.716
Pakistan,Ethiopia,0.674
Pakistan,Finland,0.723
Pakistan,Chile,0.787
Pakistan,Peru,0.725
Israel,United States,0.014
Israel,Russia,0.134
Israel,China,0.084
Israel,India,0.298
Israel,South Korea,0.367
Israel,France,0.55
Israel,Japan,0.675
Israel,United Kingdom,0.551
Israel,Turkiye,0.617
Israel,Italy,0.659
Israel,Brazil,0.66
Israel,Germany,0.575
Israel,Indonesia,0.662
Israel,Pakistan,0.465
Israel,Iran,0.472
Israel,Australia,0.699
Israel,Spain,0.706
Israel,Egypt,0.581
Israel,Ukraine,0.716
Israel,Poland,0.786
Israel,Taiwan,0.575
Israel,Vietnam,0.256
Israel,Thailand,0.658
Israel,Saudi Arabia,0.722
Israel,Sweden,0.714
Israel,Algeria,0.732
Israel,Canada,0.691
Israel,Singapore,0.686
Israel,Greece,0.722
Israel,North Korea,0.519
Israel,Argentina,0.739
Israel,Nigeria,0.703
Israel,Netherlands,0.705
Israel,Myanmar,0.671
Israel,Mexico,0.74
Israel,Bangladesh,0.771
Israel,Portugal,0.751
Israel,Norway,0.685
Israel,South Africa,0.757
Israel,Philippines,0.657
Israel,Malaysia,0.741
Israel,Colombia,0.677
Israel,Iraq,0.559
Israel,Denmark,0.734
Israel,Switzerland,0.68
Israel,Ethiopia,0.636
Israel,Finland,0.688
Israel,Chile,0.757
Israel,Peru,0.689
Iran,United States,0.015
Iran,Russia,0.148
Iran,China,0.094
Iran,India,0.327
Iran,South Korea,0.399
Iran,France,0.586
Iran,Japan,0.708
Iran,United Kingdom,0.587
Iran,Turkiye,0.651
Iran,Italy,0.692
Iran,Brazil,0.694
Iran,Germany,0.611
Iran,Indonesia,0.695
Iran,Pakistan,0.502
Iran,Israel,0.543
Iran,Australia,0.73
Iran,Spain,0.737
Iran,Egypt,0.616
Iran,Ukraine,0.745
Iran,Poland,0.811
Iran,Taiwan,0.611
Iran,Vietnam,0.283
Iran,Thailand,0.692
Iran,Saudi Arabia,0.751
Iran,Sweden,0.744
Iran,Algeria,0.76
Iran,Canada,0.722
Iran,Singapore,0.718
Iran,Greece,0.752
Iran,North Korea,0.555
Iran,Argentina,0.767
Iran,Nigeria,0.734
Iran,Netherlands,0.735
Iran,Myanmar,0.704
Iran,Mexico,0.768
Iran,Bangladesh,0.796
Iran,Portugal,0.778
Iran,Norway,0.716
Iran,South Africa,0.784
Iran,Philippines,0.691
Iran,Malaysia,0.769
Iran,Colombia,0.709
Iran,Iraq,0.596
Iran,Denmark,0.763
Iran,Switzerland,0.712
Iran,Ethiopia,0.67
Iran,Finland,0.72
Iran,Chile,0.784
Iran,Peru,0.721
Australia,United States,0.008
Australia,Russia,0.072
Australia,China,0.045
Australia,India,0.164
Australia,South Korea,0.207
Australia,France,0.356
Australia,Japan,0.484
Australia,United Kingdom,0.355
Australia,Turkiye,0.423
Australia,Italy,0.466
Australia,Brazil,0.466
Australia,Germany,0.379
Australia,Indonesia,0.466
Australia,Pakistan,0.282
Australia,Israel,0.317
Australia,Iran,0.288
Australia,Spain,0.513
Australia,Egypt,0.389
Australia,Ukraine,0.524
Australia,Poland,0.615
Australia,Taiwan,0.383
Australia,Vietnam,0.135
Australia,Thailand,0.462
Australia,Saudi Arabia,0.533
Australia,Sweden,0.522
Australia,Algeria,0.541
Australia,Canada,0.497
Australia,Singapore,0.492
Australia,Greece,0.532
Australia,North Korea,0.332
Australia,Argentina,0.551
Australia,Nigeria,0.507
Australia,Netherlands,0.511
Australia,Myanmar,0.473
Australia,Mexico,0.552
Australia,Bangladesh,0.593
Australia,Portugal,0.566
Australia,Norway,0.491
Australia,South Africa,0.575
Australia,Philippines,0.46
Australia,Malaysia,0.554
Australia,Colombia,0.48
Australia,Iraq,0.365
Australia,Denmark,0.546
Australia,Switzerland,0.486
Australia,Ethiopia,0.437
Australia,Finland,0.492
Australia,Chile,0.574
Australia,Peru,0.492
Spain,United States,0.008
Spain,Russia,0.07
Spain,China,0.044
Spain,India,0.16
Spain,South Korea,0.2
Spain,France,0.346
Spain,Japan,0.473
Spain,United Kingdom,0.345
Spain,Turkiye,0.413
Spain,Italy,0.455
Spain,Brazil,0.456
Spain,Germany,0.369
Spain,Indonesia,0.457
Spain,Pakistan,0.273
Spain,Israel,0.307
Spain,Iran,0.279
Spain,Australia,0.498
Spain,Egypt,0.379
Spain,Ukraine,0.514
Spain,Poland,0.608
Spain,Taiwan,0.372
Spain,Vietnam,0.131
Spain,Thailand,0.453
Spain,Saudi Arabia,0.526
Spain,Sweden,0.515
Spain,Algeria,0.535
Spain,Canada,0.489
Spain,Singapore,0.484
Spain,Greece,0.526
Spain,North Korea,0.322
Spain,Argentina,0.543
Spain,Nigeria,0.501
Spain,Netherlands,0.505
Spain,Myanmar,0.466
Spain,Mexico,0.545
Spain,Bangladesh,0.585
Spain,Portugal,0.559
Spain,Norway,0.481
Spain,South Africa,0.567
Spain,Philippines,0.452
Spain,Malaysia,0.546
Spain,Colombia,0.473
Spain,Iraq,0.355
Spain,Denmark,0.54
Spain,Switzerland,0.477
Spain,Ethiopia,0.427
Spain,Finland,0.485
Spain,Chile,0.567
Spain,Peru,0.485
Egypt,United States,0.011
Egypt,Russia,0.105
Egypt,China,0.066
Egypt,India,0.236
Egypt,South Korea,0.296
Egypt,France,0.471
Egypt,Japan,0.606
Egypt,United Kingdom,0.47
Egypt,Turkiye,0.543
Egypt,Italy,0.588
Egypt,Brazil,0.588
Egypt,Germany,0.496
Egypt,Indonesia,0.588
Egypt,Pakistan,0.388
Egypt,Israel,0.428
Egypt,Iran,0.395
Egypt,Australia,0.63
Egypt,Spain,0.637
Egypt,Ukraine,0.651
Egypt,Poland,0.729
Egypt,Taiwan,0.5
Egypt,Vietnam,0.2
Egypt,Thailand,0.585
Egypt,Saudi Arabia,0.655
Egypt,Sweden,0.646
Egypt,Algeria,0.666
Egypt,Canada,0.62
Egypt,Singapore,0.616
Egypt,Greece,0.655
Egypt,North Korea,0.445
Egypt,Argentina,0.674
Egypt,Nigeria,0.634
Egypt,Netherlands,0.636
Egypt,Myanmar,0.599
Egypt,Mexico,0.675
Egypt,Bangladesh,0.711
Egypt,Portugal,0.688
Egypt,Norway,0.614
Egypt,South Africa,0.695
Egypt,Philippines,0.584
Egypt,Malaysia,0.677
Egypt,Colombia,0.605
Egypt,Iraq,0.483
Egypt,Denmark,0.669
Egypt,Switzerland,0.609
Egypt,Ethiopia,0.561
Egypt,Finland,0.617
Egypt,Chile,0.695
Egypt,Peru,0.619
Ukraine,United States,0.008
Ukraine,Russia,0.069
Ukraine,China,0.042
Ukraine,India,0.158
Ukraine,South Korea,0.202
Ukraine,France,0.349
Ukraine,Japan,0.471
Ukraine,United Kingdom,0.348
Ukraine,Turkiye,0.413
Ukraine,Italy,0.454
Ukraine,Brazil,0.453
Ukraine,Germany,0.372
Ukraine,Indonesia,0.453
Ukraine,Pakistan,0.276
Ukraine,Israel,0.31
Ukraine,Iran,0.282
Ukraine,Australia,0.491
Ukraine,Spain,0.5
Ukraine,Egypt,0.382
Ukraine,Poland,0.598
Ukraine,Taiwan,0.375
Ukraine,Vietnam,0.131
Ukraine,Thailand,0.449
Ukraine,Saudi Arabia,0.516
Ukraine,Sweden,0.508
Ukraine,Algeria,0.526
Ukraine,Canada,0.484
Ukraine,Singapore,0.479
Ukraine,Greece,0.517
Ukraine,North Korea,0.325
Ukraine,Argentina,0.534
Ukraine,Nigeria,0.494
Ukraine,Netherlands,0.498
Ukraine,Myanmar,0.461
Ukraine,Mexico,0.536
Ukraine,Bangladesh,0.576
Ukraine,Portugal,0.549
Ukraine,Norway,0.478
Ukraine,South Africa,0.558
Ukraine,Philippines,0.448
Ukraine,Malaysia,0.537
Ukraine,Colombia,0.468
Ukraine,Iraq,0.359
Ukraine,Denmark,0.53
Ukraine,Switzerland,0.473
Ukraine,Ethiopia,0.426
Ukraine,Finland,0.48
Ukraine,Chile,0.558
Ukraine,Peru,0.48
Poland,United States,0.006
Poland,Russia,0.051
Poland,China,0.032
Poland,India,0.118
Poland,South Korea,0.145
Poland,France,0.263
Poland,Japan,0.377
Poland,United Kingdom,0.262
Poland,Turkiye,0.321
Poland,Italy,0.36
Poland,Brazil,0.361
Poland,Germany,0.283
Poland,Indonesia,0.362
Poland,Pakistan,0.202
Poland,Israel,0.23
Poland,Iran,0.207
Poland,Australia,0.399
Poland,Spain,0.409
Poland,Egypt,0.291
Poland,Ukraine,0.406
Poland,Taiwan,0.286
Poland,Vietnam,0.096
Poland,Thailand,0.359
Poland,Saudi Arabia,0.425
Poland,Sweden,0.418
Poland,Algeria,0.439
Poland,Canada,0.392
Poland,Singapore,0.387
Poland,Greece,0.428
Poland,North Korea,0.243
Poland,Argentina,0.446
Poland,Nigeria,0.404
Poland,Netherlands,0.406
Poland,Myanmar,0.371
Poland,Mexico,0.448
Poland,Bangladesh,0.483
Poland,Portugal,0.46
Poland,Norway,0.385
Poland,South Africa,0.467
Poland,Philippines,0.357
Poland,Malaysia,0.449
Poland,Colombia,0.378
Poland,Iraq,0.271
Poland,Denmark,0.44
Poland,Switzerland,0.381
Poland,Ethiopia,0.335
Poland,Finland,0.39
Poland,Chile,0.467
Poland,Peru,0.39
Taiwan,United States,0.011
Taiwan,Russia,0.109
Taiwan,China,0.068
Taiwan,India,0.241
Taiwan,South Korea,0.302
Taiwan,France,0.478
Taiwan,Japan,0.612
Taiwan,United Kingdom,0.477
Taiwan,Turkiye,0.549
Taiwan,Italy,0.594
Taiwan,Brazil,0.594
Taiwan,Germany,0.503
Taiwan,Indonesia,0.595
Taiwan,Pakistan,0.394
Taiwan,Israel,0.435
Taiwan,Iran,0.402
Taiwan,Australia,0.636
Taiwan,Spain,0.643
Taiwan,Egypt,0.512
Taiwan,Ukraine,0.656
Taiwan,Poland,0.734
Taiwan,Vietnam,0.205
Taiwan,Thailand,0.591
